EventID,Ajans,Tarih,Enlem,Boylam,Derinlik,Rms,Tip,Büyüklük,Ülke,Ýl,Ýlçe,Köy,Diðer,
377455,DDA,2017-06-20 06:13:32Z,38.9506,26.2541,7.03,0.32000,Mw,3.8,-,-,-,-,Ege Denizi, 33.15 km. Karaburun (Izmir)
377441,DDA,2017-06-20 02:30:12Z,38.8246,26.4420,14.79,0.26000,ML,3.2,-,-,-,-,Ege Denizi, 16.14 km. Karaburun (Izmir)
377438,DDA,2017-06-20 01:33:37Z,38.3506,27.7828,8.46,0.71000,Mw,3.5,Türkiye,Manisa,Turgutlu,-,-
377426,DDA,2017-06-19 23:09:11Z,39.0635,26.0096,25.73,0.70000,ML,3.3,-,-,-,-,Ege Denizi, 44.46 km. Ayvacik (Çanakkale)
377425,DDA,2017-06-19 22:54:37Z,38.8395,26.4380,7.33,0.41000,ML,3.1,-,-,-,-,Ege Denizi, 17.75 km. Karaburun (Izmir)
377348,DDA,2017-06-19 08:15:43Z,38.9488,26.1638,7.01,0.53000,ML,3.0,-,-,-,-,Ege Denizi, 36.32 km. Karaburun (Izmir)
377264,DDA,2017-06-19 01:41:03Z,39.5205,23.2448,16.74,0.91000,Mw,4.2,-,-,-,-,Ege Denizi, 
377194,DDA,2017-06-18 20:46:20Z,39.6243,23.3068,6.72,0.69000,Mw,4.0,-,-,-,-,Ege Denizi, 
377124,DDA,2017-06-18 15:37:55Z,38.8208,26.4650,8.47,0.45000,ML,3.3,-,-,-,-,Ege Denizi, 16.08 km. Karaburun (Izmir)
377051,DDA,2017-06-18 10:13:24Z,38.8616,26.3668,6.48,0.20000,ML,3.3,-,-,-,-,Ege Denizi, 20.58 km. Karaburun (Izmir)
377039,DDA,2017-06-18 09:29:09Z,38.8426,26.4368,7.00,0.25000,ML,3.0,-,-,-,-,Ege Denizi, 18.08 km. Karaburun (Izmir)
377036,DDA,2017-06-18 09:28:04Z,38.8653,26.4593,6.98,0.23000,ML,3.3,-,-,-,-,Ege Denizi, 20.84 km. Karaburun (Izmir)
377031,DDA,2017-06-18 08:54:14Z,40.1758,25.3241,33.74,0.37000,ML,3.0,-,-,-,-,Ege Denizi, 29.44 km. Gökçeada (Çanakkale)
376990,DDA,2017-06-18 04:46:22Z,38.8266,26.4753,5.00,0.29000,ML,3.4,-,-,-,-,Ege Denizi, 16.86 km. Karaburun (Izmir)
376972,DDA,2017-06-18 03:04:51Z,38.8360,26.4205,11.26,0.37000,ML,3.1,-,-,-,-,Ege Denizi, 17.27 km. Karaburun (Izmir)
376952,DDA,2017-06-18 02:12:47Z,38.8391,26.4331,9.50,0.32000,Mw,3.5,-,-,-,-,Ege Denizi, 17.66 km. Karaburun (Izmir)
376943,DDA,2017-06-18 01:21:57Z,38.8573,26.4216,22.98,0.37000,ML,3.0,-,-,-,-,Ege Denizi, 19.63 km. Karaburun (Izmir)
376919,DDA,2017-06-18 00:12:30Z,38.8206,26.4640,7.05,0.24000,ML,3.2,-,-,-,-,Ege Denizi, 16.04 km. Karaburun (Izmir)
376917,DDA,2017-06-17 23:55:12Z,38.8238,26.4696,7.00,0.16000,ML,3.0,-,-,-,-,Ege Denizi, 16.50 km. Karaburun (Izmir)
376899,DDA,2017-06-17 23:16:15Z,38.8321,26.4440,9.48,0.28000,Mw,3.9,-,-,-,-,Ege Denizi, 16.99 km. Karaburun (Izmir)
376908,DDA,2017-06-17 23:10:30Z,38.8351,26.4566,7.00,0.30000,ML,3.4,-,-,-,-,Ege Denizi, 17.49 km. Karaburun (Izmir)
376902,DDA,2017-06-17 23:09:50Z,38.8233,26.4571,7.01,0.33000,ML,3.4,-,-,-,-,Ege Denizi, 16.21 km. Karaburun (Izmir)
376900,DDA,2017-06-17 23:06:29Z,38.8143,26.4558,7.05,0.31000,ML,3.1,-,-,-,-,Ege Denizi, 15.21 km. Karaburun (Izmir)
376898,DDA,2017-06-17 23:01:51Z,38.8180,26.4610,7.00,0.28000,ML,3.4,-,-,-,-,Ege Denizi, 15.70 km. Karaburun (Izmir)
376896,DDA,2017-06-17 23:00:05Z,38.8301,26.4466,11.27,0.28000,ML,3.5,-,-,-,-,Ege Denizi, 16.81 km. Karaburun (Izmir)
376895,DDA,2017-06-17 22:58:36Z,38.8091,26.4730,7.00,0.50000,ML,3.1,-,-,-,-,Ege Denizi, 14.91 km. Karaburun (Izmir)
376890,DDA,2017-06-17 22:50:04Z,38.8381,26.4360,10.25,0.32000,Mw,5.3,-,-,-,-,Ege Denizi, 17.58 km. Karaburun (Izmir)
376891,DDA,2017-06-17 22:37:30Z,38.8788,26.0713,7.03,0.36000,ML,3.3,-,-,-,-,Ege Denizi, 35.01 km. Karaburun (Izmir)
376889,DDA,2017-06-17 22:33:32Z,38.8185,26.4366,12.43,0.27000,Mw,4.2,-,-,-,-,Ege Denizi, 15.42 km. Karaburun (Izmir)
376792,DDA,2017-06-17 06:40:37Z,38.9060,26.2196,12.35,0.34000,Mw,4.5,-,-,-,-,Ege Denizi, 29.86 km. Karaburun (Izmir)
376775,DDA,2017-06-17 03:21:46Z,38.8271,26.4313,6.99,0.22000,Mw,3.5,-,-,-,-,Ege Denizi, 16.32 km. Karaburun (Izmir)
376763,DDA,2017-06-17 01:49:36Z,38.8086,26.4521,12.72,0.21000,ML,3.1,-,-,-,-,Ege Denizi, 14.53 km. Karaburun (Izmir)
376722,DDA,2017-06-16 21:17:36Z,44.3445,36.7655,6.99,0.65000,Mw,4.1,-,-,-,-,Karadeniz, 
376682,DDA,2017-06-16 16:25:50Z,38.7918,26.3946,18.38,0.48000,Mw,4.2,-,-,-,-,Ege Denizi, 12.51 km. Karaburun (Izmir)
376678,DDA,2017-06-16 15:07:33Z,38.8600,26.0061,7.22,0.26000,ML,3.4,-,-,-,-,Ege Denizi, 38.02 km. Karaburun (Izmir)
376665,DDA,2017-06-16 13:51:45Z,38.2708,26.5633,12.72,0.32000,ML,3.1,Türkiye,Izmir,Urla,-,-
376634,DDA,2017-06-16 12:46:28Z,38.2715,26.5821,6.03,0.21000,ML,3.9,Türkiye,Izmir,Urla,-,-
376633,DDA,2017-06-16 12:46:19Z,38.2805,26.5726,7.26,0.23000,ML,3.7,Türkiye,Izmir,Urla,-,-
376641,DDA,2017-06-16 12:40:45Z,38.8678,26.1006,7.01,0.31000,Mw,3.2,-,-,-,-,Ege Denizi, 32.34 km. Karaburun (Izmir)
376611,DDA,2017-06-16 08:59:22Z,38.8880,26.3228,7.01,0.37000,Mw,3.8,-,-,-,-,Ege Denizi, 24.45 km. Karaburun (Izmir)
376610,DDA,2017-06-16 08:52:15Z,38.9223,26.3260,5.69,0.45000,ML,3.1,-,-,-,-,Ege Denizi, 27.99 km. Karaburun (Izmir)
376600,DDA,2017-06-16 07:38:23Z,38.8418,26.4336,10.39,0.48000,ML,3.4,-,-,-,-,Ege Denizi, 17.97 km. Karaburun (Izmir)
376582,DDA,2017-06-16 04:01:07Z,38.8450,26.4701,12.73,0.33000,Mw,3.8,-,-,-,-,Ege Denizi, 18.80 km. Karaburun (Izmir)
376575,DDA,2017-06-16 03:27:27Z,38.8360,26.4490,7.00,0.34000,Mw,3.5,-,-,-,-,Ege Denizi, 17.49 km. Karaburun (Izmir)
376565,DDA,2017-06-16 00:46:07Z,38.8710,26.1458,6.94,0.36000,Mw,3.3,-,-,-,-,Ege Denizi, 30.01 km. Karaburun (Izmir)
376532,DDA,2017-06-15 18:48:09Z,38.8206,26.3901,7.00,0.30000,ML,3.1,-,-,-,-,Ege Denizi, 15.73 km. Karaburun (Izmir)
376531,DDA,2017-06-15 18:36:01Z,38.9240,26.3000,11.35,0.41000,ML,3.0,-,-,-,-,Ege Denizi, 28.88 km. Karaburun (Izmir)
376530,DDA,2017-06-15 18:10:17Z,34.5821,26.5535,7.97,0.95000,ML,3.2,-,-,-,-,Akdeniz, 
376483,DDA,2017-06-15 13:37:04Z,38.8956,26.2635,13.79,0.42000,Mw,4.1,-,-,-,-,Ege Denizi, 27.31 km. Karaburun (Izmir)
376384,DDA,2017-06-15 01:45:47Z,38.8495,26.3940,6.97,0.45000,Mw,3.4,-,-,-,-,Ege Denizi, 18.87 km. Karaburun (Izmir)
376368,DDA,2017-06-14 23:51:19Z,38.8246,25.8755,12.81,0.94000,Mw,3.7,-,-,-,-,Ege Denizi, 46.00 km. Karaburun (Izmir)
376367,DDA,2017-06-14 23:35:14Z,38.9786,26.2700,3.21,0.44000,ML,3.5,-,-,-,-,Ege Denizi, 35.47 km. Karaburun (Izmir)
376321,DDA,2017-06-14 13:51:56Z,38.7393,27.8015,6.76,0.48000,ML,3.2,Türkiye,Manisa,Saruhanli,-,-
376285,DDA,2017-06-14 10:10:04Z,34.4985,23.6621,5.18,0.73000,Mw,4.3,-,-,-,-,Akdeniz, 
376257,DDA,2017-06-14 08:15:20Z,38.8695,26.4301,7.02,0.35000,ML,3.0,-,-,-,-,Ege Denizi, 21.02 km. Karaburun (Izmir)
376247,DDA,2017-06-14 07:35:54Z,38.8613,26.3925,11.78,0.35000,Mw,4.4,-,-,-,-,Ege Denizi, 20.19 km. Karaburun (Izmir)
376245,DDA,2017-06-14 07:24:14Z,38.9590,26.2581,7.01,0.46000,Mw,3.7,-,-,-,-,Ege Denizi, 33.86 km. Karaburun (Izmir)
376250,DDA,2017-06-14 07:20:11Z,38.6803,44.1028,11.24,0.28000,ML,3.3,Türkiye,Van,Özalp,-,-
376243,DDA,2017-06-14 07:14:36Z,38.8825,26.4096,7.01,0.27000,ML,3.3,-,-,-,-,Ege Denizi, 22.44 km. Karaburun (Izmir)
376212,DDA,2017-06-14 04:58:46Z,38.9143,26.2428,6.98,0.38000,ML,3.1,-,-,-,-,Ege Denizi, 29.89 km. Karaburun (Izmir)
376152,DDA,2017-06-14 01:36:08Z,38.7338,27.7551,7.02,0.42000,ML,3.1,Türkiye,Manisa,Saruhanli,-,-
376080,DDA,2017-06-13 22:09:28Z,38.8680,26.3290,8.42,0.37000,Mw,3.6,-,-,-,-,Ege Denizi, 22.18 km. Karaburun (Izmir)
376024,DDA,2017-06-13 18:18:31Z,38.8745,26.3223,7.05,0.29000,ML,3.0,-,-,-,-,Ege Denizi, 23.06 km. Karaburun (Izmir)
375992,DDA,2017-06-13 16:47:53Z,38.8643,26.4513,10.05,0.41000,Mw,3.5,-,-,-,-,Ege Denizi, 20.62 km. Karaburun (Izmir)
375966,DDA,2017-06-13 15:03:41Z,38.8653,26.4218,11.15,0.51000,Mw,3.6,-,-,-,-,Ege Denizi, 20.52 km. Karaburun (Izmir)
375951,DDA,2017-06-13 14:11:23Z,38.7860,26.4830,7.00,0.40000,ML,3.1,-,-,-,-,Ege Denizi, 12.38 km. Karaburun (Izmir)
375950,DDA,2017-06-13 14:09:26Z,38.8755,26.4248,4.04,0.29000,ML,3.0,-,-,-,-,Ege Denizi, 21.66 km. Karaburun (Izmir)
375935,DDA,2017-06-13 12:48:59Z,38.8643,26.3630,7.74,0.40000,ML,3.1,-,-,-,-,Ege Denizi, 20.94 km. Karaburun (Izmir)
375902,DDA,2017-06-13 09:46:49Z,39.1583,29.3706,7.01,0.67000,ML,3.1,Türkiye,Kütahya,Gediz,-,-
375883,DDA,2017-06-13 08:31:42Z,38.9438,26.1686,7.01,0.25000,Mw,3.5,-,-,-,-,Ege Denizi, 35.63 km. Karaburun (Izmir)
375882,DDA,2017-06-13 08:29:51Z,38.8011,26.4506,7.02,0.64000,ML,3.0,-,-,-,-,Ege Denizi, 13.68 km. Karaburun (Izmir)
375880,DDA,2017-06-13 08:16:26Z,38.7988,26.4508,7.00,0.23000,ML,3.2,-,-,-,-,Ege Denizi, 13.44 km. Karaburun (Izmir)
375870,DDA,2017-06-13 07:36:54Z,36.4788,42.3916,27.52,0.47000,ML,3.0,Irak,Talafar,-,-,-
375847,DDA,2017-06-13 06:21:52Z,38.8606,26.3623,7.00,0.13000,ML,3.0,-,-,-,-,Ege Denizi, 20.55 km. Karaburun (Izmir)
375846,DDA,2017-06-13 06:19:58Z,38.8465,26.4233,7.09,0.47000,Mw,4.0,-,-,-,-,Ege Denizi, 18.44 km. Karaburun (Izmir)
375843,DDA,2017-06-13 06:05:35Z,38.9010,26.3280,7.00,0.19000,Mw,3.5,-,-,-,-,Ege Denizi, 25.67 km. Karaburun (Izmir)
375805,DDA,2017-06-13 04:29:20Z,38.8255,26.3705,7.12,0.28000,Mw,3.5,-,-,-,-,Ege Denizi, 16.60 km. Karaburun (Izmir)
375780,DDA,2017-06-13 03:23:52Z,38.8950,26.3478,7.06,0.30000,ML,3.1,-,-,-,-,Ege Denizi, 24.56 km. Karaburun (Izmir)
375768,DDA,2017-06-13 02:29:21Z,38.8941,26.3325,7.00,0.80000,Mw,3.4,-,-,-,-,Ege Denizi, 24.82 km. Karaburun (Izmir)
375753,DDA,2017-06-13 01:35:08Z,38.8658,26.4236,7.01,0.30000,ML,3.1,-,-,-,-,Ege Denizi, 20.58 km. Karaburun (Izmir)
375712,DDA,2017-06-12 22:52:34Z,38.9068,26.3593,7.00,0.12000,ML,3.2,-,-,-,-,Ege Denizi, 25.62 km. Karaburun (Izmir)
375711,DDA,2017-06-12 22:48:38Z,38.9108,26.3441,7.00,0.21000,Mw,3.6,-,-,-,-,Ege Denizi, 26.34 km. Karaburun (Izmir)
375689,DDA,2017-06-12 21:29:27Z,38.8238,26.2911,7.00,0.37000,Mw,3.6,-,-,-,-,Ege Denizi, 19.01 km. Karaburun (Izmir)
375688,DDA,2017-06-12 21:25:40Z,38.8760,26.2961,12.53,0.34000,Mw,4.0,-,-,-,-,Ege Denizi, 24.11 km. Karaburun (Izmir)
375691,DDA,2017-06-12 21:25:02Z,38.8641,26.0908,6.44,0.43000,ML,3.4,-,-,-,-,Ege Denizi, 32.66 km. Karaburun (Izmir)
375674,DDA,2017-06-12 20:34:31Z,38.8791,26.4460,0.00,0.48000,ML,3.5,-,-,-,-,Ege Denizi, 22.19 km. Karaburun (Izmir)
375664,DDA,2017-06-12 19:42:04Z,38.8246,26.3503,7.00,0.14000,ML,3.0,-,-,-,-,Ege Denizi, 17.02 km. Karaburun (Izmir)
375653,DDA,2017-06-12 19:30:15Z,38.8673,26.3866,12.29,0.27000,Mw,4.0,-,-,-,-,Ege Denizi, 20.91 km. Karaburun (Izmir)
